지점명,위도,경도
관철동14-1번지사거리,37.570176,126.983197
광하문우체국사거리,37.5698001,126.9780682
광화문앞삼거리,37.5740339,126.976775
동대문성곽공원앞사거리,37.5719236,127.0090775
동대문역사거리,37.565682,127.008953
동대문역삼거리,37.565682,127.008953
동묘공원앞삼거리,37.573146,127.018215
동묘앞역사거리,37.573246,127.016589
서울전문학교앞사거리,37.5742844,127.019078
서울지방경찰청,37.5748364,126.9719665
신설동역사거리,37.5721057,127.0231122
안국역사거리,37.5768115,126.9861629
이화사거리,37.5761174,127.0022169
종로3가역사거리,37.570436,126.992148
종로5가역사거리,37.57126,127.00179
종로타워삼거리,37.570176,126.983197
중부교육지원청부근사거리,37.5718402,127.0028836
창신1동주민센터,37.5707016,127.0163823
청계4가교차로,37.570742,126.997789
청계6가앞,37.56988,127.009631
트윈트리타워앞,37.5751853,126.9797383
혜화동로터리,37.5855329,127.0012167
