,년도,자치구,사고수,사망자수,중상자수,경상자수,부상자수,사고운전자_평균연령,음주운전사고수,출퇴근시간_사고수,이륜차_사고수,고령운전자_사고수,등록인구,전체차량_대수,이륜차량_대수,전체_사업체수,전체_종사자수,숙박_음식업_사업체수,숙박_음식업_종사자수
0,2017,강남구,350,3,115,407,51,48.9,55,66,6,48,561052,255025,16714,72511,679047,11074,56982
1,2017,강동구,194,6,65,185,15,50.8,22,50,3,28,440359,153054,16496,29952,146512,4885,15466
2,2017,강북구,271,0,88,291,22,47.8,13,76,15,33,328002,99742,21922,18928,71752,3681,10569
3,2017,강서구,230,1,72,258,30,48.4,24,64,7,30,608255,220758,18695,36556,234394,5651,20057
4,2017,관악구,258,1,73,247,35,48.7,23,50,15,36,520929,146633,24530,26374,115390,5640,17322
5,2017,광진구,230,0,80,223,31,48.7,14,58,4,32,372298,117082,18451,24688,125170,4675,16498
6,2017,구로구,271,2,90,281,22,49.1,28,47,14,39,441559,160214,16254,38405,213468,4688,14686
7,2017,금천구,205,0,74,240,24,50.3,8,43,8,26,253491,98099,11672,31750,228000,3318,10293
8,2017,노원구,264,1,67,309,34,48.6,24,77,7,34,558075,169700,14992,26516,117859,4143,14211
9,2017,도봉구,237,1,79,235,39,48.8,24,60,5,33,346234,112000,14677,18351,70503,2732,7514
10,2017,동대문구,295,4,115,247,19,50.3,13,70,11,40,366011,121652,24145,32411,142842,4909,14047
11,2017,동작구,312,4,95,298,42,47.9,22,66,10,35,408493,119896,15059,19966,110422,4143,12907
12,2017,마포구,299,3,74,379,20,47.1,29,59,4,43,385783,133818,17287,36325,247999,8139,28793
13,2017,서대문구,181,0,56,175,32,50.9,7,40,6,33,325028,100963,14895,19852,111117,4337,14107
14,2017,서초구,340,2,79,398,41,48.2,20,73,1,44,445401,195621,14075,46207,436763,6728,31508
15,2017,성동구,210,1,70,187,40,49.1,15,44,7,33,312711,123811,20695,27278,167308,3786,11744
16,2017,성북구,324,2,109,341,19,48.4,16,77,8,37,455407,143512,26303,24039,108991,4415,12731
17,2017,송파구,346,4,120,315,61,48.8,37,76,1,39,671173,251013,19194,46676,329447,7032,28346
18,2017,양천구,267,3,85,285,23,49.1,30,67,9,31,475018,169441,18618,26077,119943,3566,11585
19,2017,영등포구,373,2,105,426,62,49.7,28,86,13,59,402024,162628,16478,43163,362800,7003,25853
20,2017,용산구,242,0,65,258,24,49.3,17,51,8,36,244444,93582,16124,20806,133260,4453,18201
21,2017,은평구,204,4,67,231,39,49.7,14,46,2,25,491202,149893,20889,24561,88818,4178,11781
22,2017,종로구,299,5,99,303,56,51.5,18,59,8,48,164257,64216,13388,40490,268702,6724,26577
23,2017,중구,330,0,114,288,44,50.4,12,91,9,41,134593,66349,14809,62936,386648,6141,31793
24,2017,중랑구,325,1,109,309,60,50.3,13,95,9,53,412780,138184,24268,28045,102758,4154,10944
25,2018,강남구,360,2,71,439,49,48.9,43,74,6,64,547453,252122,16795,71373,694136,10730,58366
26,2018,강동구,226,1,64,216,27,51.5,16,49,5,39,431920,151739,16305,29772,145990,4834,15308
27,2018,강북구,258,1,70,297,13,49.7,14,56,10,36,322915,99147,21782,18918,72418,3719,10674
28,2018,강서구,268,2,101,345,33,48.5,31,66,6,33,603611,223157,18542,38524,248204,5900,21475
29,2018,관악구,285,0,91,287,33,48.4,22,66,13,35,520040,145944,24514,26105,113944,5561,17541
30,2018,광진구,258,2,85,250,15,49.4,26,58,7,35,371063,118893,18341,24535,127879,4764,17023
31,2018,구로구,282,1,71,325,28,48.9,17,64,11,29,438486,160284,15844,38553,218070,4664,15178
32,2018,금천구,241,0,88,274,22,50.2,20,71,15,31,254021,98604,11541,32472,234012,3350,11033
33,2018,노원구,251,2,71,303,21,50.8,27,42,4,36,548160,168581,14957,26616,118713,4191,14443
34,2018,도봉구,208,2,72,182,36,51.3,14,50,7,36,341649,112050,14742,18894,74314,2751,7906
35,2018,동대문구,242,3,105,221,12,49.6,13,49,13,28,364338,122090,23766,31878,140748,4863,14447
36,2018,동작구,288,2,71,273,55,49.3,15,83,11,40,409385,120438,14962,19916,112564,4141,13130
37,2018,마포구,283,1,83,330,24,48.4,25,76,2,37,386359,135066,17075,37232,255152,8429,31288
38,2018,서대문구,223,1,82,201,39,51.1,9,49,10,37,323080,101649,14896,19796,109490,4315,14505
39,2018,서초구,323,0,86,388,32,49.0,20,64,1,37,438163,195335,13189,46540,438733,6646,33522
40,2018,성동구,202,2,56,204,8,50.2,16,47,6,35,316463,126712,20618,27868,174819,3836,12442
41,2018,성북구,280,2,87,299,22,50.6,19,66,10,44,447687,142814,26271,23287,108201,4463,13397
42,2018,송파구,359,0,102,395,58,50.7,30,87,5,49,673507,255695,19487,47772,342853,7234,30485
43,2018,양천구,225,0,64,218,30,50.8,9,51,2,36,468145,169140,18608,26126,123311,3604,12092
44,2018,영등포구,381,5,94,438,49,49.3,30,78,8,53,403600,160301,16361,42589,367557,6897,27163
45,2018,용산구,230,3,68,212,21,50.6,18,52,7,43,245090,93531,16016,20813,141216,4603,19474
46,2018,은평구,213,2,81,217,32,51.3,11,50,7,41,487666,150558,20911,24873,90049,4273,12317
47,2018,종로구,269,0,66,270,39,53.1,21,52,7,52,163026,63883,13151,39952,265017,6625,27639
48,2018,중구,265,2,86,240,40,52.3,13,51,4,55,135633,66416,14603,60957,390530,6050,33032
49,2018,중랑구,280,2,106,313,32,50.8,18,67,13,48,408147,138292,24270,28024,103016,4152,11212
50,2019,강남구,349,1,76,410,42,47.6,36,58,8,45,550209,252500,17072,71027,698840,11037,59357
51,2019,강동구,205,2,70,205,21,50.6,10,51,3,29,440390,156231,16668,29080,141770,4879,15636
52,2019,강북구,252,1,57,269,14,50.1,10,56,23,48,317695,98254,21890,19014,73904,3779,11090
53,2019,강서구,262,3,77,289,25,51.6,15,60,9,46,598273,223476,18652,39458,257494,6106,22192
54,2019,관악구,286,0,88,252,23,50.3,20,62,17,54,517334,144565,24515,25505,115329,5662,17812
55,2019,광진구,212,0,53,253,11,49.7,13,34,9,36,366972,117576,18277,24445,126305,4786,16639
56,2019,구로구,257,2,79,294,22,49.2,17,75,13,44,439371,160128,15663,38756,225668,4726,15112
57,2019,금천구,213,1,67,248,20,50.3,8,60,16,35,251820,99150,11569,33814,242686,3435,10808
58,2019,노원구,260,2,69,291,23,49.8,14,66,4,49,537303,166980,14905,26618,116684,4278,14520
59,2019,도봉구,203,1,63,200,36,49.4,12,50,12,22,335631,111283,14848,18628,72939,2814,8203
60,2019,동대문구,210,3,61,210,15,52.5,8,51,12,44,363023,121637,23727,31324,138400,4845,14420
61,2019,동작구,293,0,94,316,49,50.7,11,67,17,62,408912,120628,15156,19793,106159,4153,13252
62,2019,마포구,245,1,58,282,45,48.2,20,46,2,34,385925,135135,17228,37290,247276,8616,29425
63,2019,서대문구,239,3,78,290,66,50.9,9,53,3,47,323171,101909,14805,20095,113819,4321,14232
64,2019,서초구,368,0,58,417,49,49.7,14,74,2,50,435107,193627,12419,46940,438985,6554,31160
65,2019,성동구,185,1,47,204,14,48.0,6,45,7,24,308979,126428,20165,28343,178243,3935,12957
66,2019,성북구,294,0,74,320,28,49.2,14,77,14,39,454744,145865,26544,23617,111005,4461,13323
67,2019,송파구,363,3,112,398,50,49.6,27,92,4,52,682741,261941,21353,48644,341201,7461,30248
68,2019,양천구,237,0,55,264,31,49.9,11,61,6,40,462285,168528,18844,25894,121582,3618,12352
69,2019,영등포구,325,1,77,348,44,50.8,15,73,11,54,400986,158273,16263,42370,373478,6954,27259
70,2019,용산구,235,0,56,255,12,49.8,14,47,10,41,245185,92666,16145,20254,135240,4594,18282
71,2019,은평구,199,1,73,191,26,52.5,16,49,5,38,484546,150700,20880,24681,93631,4331,12965
72,2019,종로구,275,2,91,278,51,50.3,16,66,12,53,161869,63321,13269,39679,260446,6709,26606
73,2019,중구,270,1,79,267,27,51.1,7,57,7,54,136488,66089,14353,60127,392568,6250,34751
74,2019,중랑구,267,2,76,256,29,51.3,10,65,18,47,402024,137050,24327,28228,103345,4171,11311
